FID RT,FID Area,MS RT,Compound Name,Formula,Match Factor,Compound Source,Compound Type Abbreviation
15.357,0.1311,15.3544,"Benzene, pentamethyl-",C11H16,72.41381884,Manual assignment based on HydroUI,A
15.395,0.3503,15.392,"1H-Indene, 2,3-dihydro-1,1,3-trimethyl-",C12H16,80.23400029,Manual assignment based on HydroUI,A
15.459,0.67,15.4568,"Heptane, 4-propyl-",C10H22,57.76925529,Manual assignment based on HydroUI,B
15.493,0.7036,15.4986,"1H-Indene, 2,3-dihydro-1,1,3-trimethyl-",C12H16,80.7540693,Manual assignment based on HydroUI,A
15.554,0.524,15.5528,"Dodecane, 4-methyl-",C13H28,72.21679827,Manual assignment based on HydroUI,B
15.622,1.2156,15.6179,"Decane, 3,8-dimethyl-",C12H26,74.70166038,Manual assignment based on HydroUI,B
15.722,0.6794,15.7182,"Dodecane, 3-methyl-",C13H28,74.87979873,Manual assignment based on HydroUI,B
15.754,0.5554,15.7547,"Benzene, 1,4-bis(1-methylethyl)-",C12H18,54.91091998,Manual assignment based on HydroUI,A
15.799,0.5519,15.8005,"1H-Indene, 2,3-dihydro-4,7-dimethyl-",C11H14,64.17329353,Manual assignment based on HydroUI,A
15.846,0.7403,15.8397,"Undecane, 4,6-dimethyl-",C13H28,74.01469089,Manual assignment based on HydroUI,B
15.919,0.885,15.9157,"Benzene, 1,4-dimethyl-2-(2-methylpropyl)-",C12H18,85.00718971,Manual assignment based on HydroUI,A
16.027,2.1452,16.0234,"Benzene, pentamethyl-",C11H16,89.0673559,Manual assignment based on HydroUI,A
16.075,0.055,,No match,,,Manual assignment based on HydroUI,
16.12,0.394,16.1249,"Octane, 3,3-dimethyl-",C10H22,82.9537743,Manual assignment based on HydroUI,B
16.211,0.942,16.2107,"1H-Indene, 2,3-dihydro-1,1,3-trimethyl-",C12H16,84.10281703,Manual assignment based on HydroUI,A
16.28,1.1408,16.2744,"Naphthalene, 2-methyl-",C11H10,84.66101977,Manual assignment based on HydroUI,A
16.353,1.1568,16.3523,"4-Methyl-1,6-heptadien-4-ol",C8H14O,50.49530686,Manual assignment based on HydroUI,O
16.451,0.3795,16.4416,"Pentane, 2,3,3,4-tetramethyl-",C9H20,72.92314511,Manual assignment based on HydroUI,B
16.522,0.8246,16.5226,"Naphthalene, 2-methyl-",C11H10,89.71762985,Manual assignment based on HydroUI,A
16.583,0.8513,16.5789,"Phenol, 2-(3-hydroxy-3-methyl-1-butenyl)-, (Z)-",C11H14O2,72.1385454,Manual assignment based on HydroUI,O
16.694,0.4565,16.6939,"Benzene, 1,3,5-trimethyl-2-(1-methylethenyl)-",C12H16,71.91893163,Manual assignment based on HydroUI,A
16.812,0.991,16.8118,"Naphthalene, 1,2,3,4-tetrahydro-1,6,8-trimethyl-",C13H18,71.94417182,Manual assignment based on HydroUI,A
16.852,0.3808,16.8483,"Pentane, 3-ethyl-3-methyl-",C8H18,61.47082462,Manual assignment based on HydroUI,B
16.908,0.8169,16.9091,"Hexane, 3,3-dimethyl-",C8H18,80.02078063,Manual assignment based on HydroUI,B
16.974,0.5149,16.9771,"Hexane, 3,3-dimethyl-",C8H18,78.23117544,Manual assignment based on HydroUI,B
17.018,0.2067,17.0254,"Benzene, 1,1'-(1,1,10,10-tetramethyl-1,10-decanediyl)bis[3,4-dimethyl-",C30H46,62.44118344,Manual assignment based on HydroUI,A
17.088,0.8294,17.0883,"Benzene, 1,2-diethyl-3,4-dimethyl-",C12H18,70.47069449,Manual assignment based on HydroUI,A
17.158,0.4193,17.1497,4-pentylphenyl 4-propylbenzoate,C21H26O2,62.32970694,Manual assignment based on HydroUI,O
17.255,0.1843,,No match,,,Manual assignment based on HydroUI,
17.326,0.9545,17.321,"Benzene, 2-(2-butenyl)-1,3,5-trimethyl-",C13H18,74.02929781,Manual assignment based on HydroUI,A
17.457,0.6353,17.4543,"Hexane, 3,3-dimethyl-",C8H18,74.36495496,Manual assignment based on HydroUI,B
17.576,1.4143,17.5795,"Nonane, 5-methyl-5-propyl-",C13H28,53.21525683,Manual assignment based on HydroUI,B
17.66,0.468,17.6575,3-Ethyl-3-methylheptane,C10H22,79.02010069,Manual assignment based on HydroUI,B
17.752,1.6211,17.7523,"Naphthalene, 2,6-dimethyl-",C12H12,97.30694988,Manual assignment based on HydroUI,A
17.924,91.1828,17.9226,"Benzene, 1,3,5-tri-tert-butyl-",C18H30,97.35049649,Manual assignment based on HydroUI,A
17.997,0.8055,17.9958,"Naphthalene, 1,2-dimethyl-",C12H12,82.33270328,Manual assignment based on HydroUI,A
18.043,0.4657,18.0391,"1,3,5-Trimethyl-2-cyclopentylbenzene",C14H20,67.33784591,Manual assignment based on HydroUI,C
18.119,0.1291,18.1178,"Diglycolic acid, di(2-ethylbutyl) ester",C16H30O5,56.76764128,Manual assignment based on HydroUI,O
18.163,0.2157,18.1562,"Benzene, 1-tert-butyl-4-cyclopropylmethyl-",C14H20,57.4891563,Manual assignment based on HydroUI,A
18.204,0.5348,18.2119,"Naphthalene, 1,6-dimethyl-",C12H12,83.97056315,Manual assignment based on HydroUI,A
18.258,0.585,18.2628,"1,3-Pentanedione, 4-methyl-1-phenyl-",C12H14O2,61.3460572,Manual assignment based on HydroUI,O
18.35,0.3694,,No match,,,Manual assignment based on HydroUI,
18.422,0.6066,18.4197,"Naphthalene, 1,2-dimethyl-",C12H12,69.69373546,Manual assignment based on HydroUI,A
18.548,0.5931,18.5434,"Benzene, 1-isopentyl-2,4,5-trimethyl-",C14H22,72.2124203,Manual assignment based on HydroUI,A
18.65,0.2082,,No match,,,Manual assignment based on HydroUI,
18.705,0.3789,,No match,,,Manual assignment based on HydroUI,
18.816,1.2697,18.8169,"Benzene, 1,3,5-tri-tert-butyl-",C18H30,72.31709837,Manual assignment based on HydroUI,A
18.894,0.9541,18.8885,"Naphthalene, 1,2,3,4-tetrahydro-5,6,7,8-tetramethyl-",C14H20,71.04365148,Manual assignment based on HydroUI,A
18.997,1.2682,18.994,"Naphthalene, 2-(1-methylethyl)-",C13H14,92.78654456,Manual assignment based on HydroUI,A
19.055,0.3381,,No match,,,Manual assignment based on HydroUI,
19.143,0.3943,19.1367,"Naphthalene, 1,6,7-trimethyl-",C13H14,79.98874949,Manual assignment based on HydroUI,A
19.262,1.5735,19.2593,"Naphthalene, 1,6,7-trimethyl-",C13H14,94.38467665,Manual assignment based on HydroUI,A
19.326,1.673,19.3235,"Naphthalene, 1,6,7-trimethyl-",C13H14,93.18942735,Manual assignment based on HydroUI,A
19.399,0.0478,,No match,,,Manual assignment based on HydroUI,
19.435,0.0713,,No match,,,Manual assignment based on HydroUI,
19.527,0.5335,,No match,,,Manual assignment based on HydroUI,
19.561,0.9046,19.5583,"Naphthalene, 1,6,7-trimethyl-",C13H14,94.195715,Manual assignment based on HydroUI,A
19.614,0.0825,,No match,,,Manual assignment based on HydroUI,
19.729,1.3687,19.7233,"Naphthalene, 2,3,6-trimethyl-",C13H14,88.70189281,Manual assignment based on HydroUI,A
19.763,0.7714,19.7588,"Naphthalene, 2,3,6-trimethyl-",C13H14,85.18504359,Manual assignment based on HydroUI,A
19.863,0.2256,,No match,,,Manual assignment based on HydroUI,
19.95,0.6165,19.9463,"Naphthalene, 1,6,7-trimethyl-",C13H14,76.49403433,Manual assignment based on HydroUI,A
20.043,0.6014,20.0403,"Naphthalene, 1,4,6-trimethyl-",C13H14,67.57350881,Manual assignment based on HydroUI,A
20.114,0.5916,20.1107,"Naphthalene, 2-methyl-1-propyl-",C14H16,83.07846641,Manual assignment based on HydroUI,A
20.228,0.374,20.2245,Chamazulene,C14H16,76.89571835,Manual assignment based on HydroUI,A
20.322,0.3084,20.3164,"1,4,5,8-Tetramethylnaphthalene",C14H16,78.45676869,Manual assignment based on HydroUI,A
20.38,0.4545,20.3755,"Naphthalene, 1-methyl-7-(1-methylethyl)-",C14H16,73.71263337,Manual assignment based on HydroUI,A
20.423,0.4667,20.4208,"Naphthalene, 1-methyl-7-(1-methylethyl)-",C14H16,78.44113577,Manual assignment based on HydroUI,A
20.466,0.5571,20.4619,"1,4,5,8-Tetramethylnaphthalene",C14H16,65.34165222,Manual assignment based on HydroUI,A
20.556,0.1675,,No match,,,Manual assignment based on HydroUI,
20.597,0.3377,20.6019,"Naphthalene, 1-methyl-7-(1-methylethyl)-",C14H16,71.36774237,Manual assignment based on HydroUI,A
20.695,1.2155,20.6931,3-Biphenylmethanol,C13H12O,73.24807963,Manual assignment based on HydroUI,O
20.832,0.0923,20.8242,"1,4,5,8-Tetramethylnaphthalene",C14H16,72.14771637,Manual assignment based on HydroUI,A
20.909,0.3551,,No match,,,Manual assignment based on HydroUI,
20.949,1.3494,20.9466,"1,4,5,8-Tetramethylnaphthalene",C14H16,93.26652445,Manual assignment based on HydroUI,A
21.067,0.1065,,No match,,,Manual assignment based on HydroUI,
21.14,1.5333,21.1364,"Naphthalene, 1,2,3,4-tetramethyl-",C14H16,93.5510294,Manual assignment based on HydroUI,A
