,Component RT,Compound Name,Formula,Match Factor,Previous Best Compound Name,Previous Best Formula,Previous Best Match Factor,Previous Worst Compound Name,Previous Worst Formula,Previous Worst Match Factor
122,13.4169,"Undecane, 2,7-dimethyl-",C13H28,86.77955971,"Undecane, 2,7-dimethyl-",C13H28,86.77955971,"Pentane, 3,3-dimethyl-",C7H16,62.70590741
121,13.5069,"Benzene, 1-ethyl-2,4-dimethyl-",C10H14,88.65771096,"Benzene, 1-ethyl-2,4-dimethyl-",C10H14,88.65771096,"Benzene, 1-ethyl-2,4-dimethyl-",C10H14,80.2005523
120,13.5162,"Hexane, 3,3-dimethyl-",C8H18,79.43795225,"Hexane, 3,3-dimethyl-",C8H18,79.43795225,"Octane, 2,4,6-trimethyl-",C11H24,75.5634102
119,13.5805,"Benzene, 1,2,4,5-tetramethyl-",C10H14,92.56696485,"Benzene, 1,2,4,5-tetramethyl-",C10H14,92.56696485,"Benzene, 1,2,3,4-tetramethyl-",C10H14,80.1264438
118,13.9383,"Benzene, 1,3-diethyl-5-methyl-",C11H16,89.73193557,"Benzene, 1,3-diethyl-5-methyl-",C11H16,89.73193557,"Benzene, 1,4-diethyl-2-methyl-",C11H16,80.07129793
117,14.0195,"Octane, 3,4,5,6-tetramethyl-",C12H26,87.0802539,"Octane, 3,4,5,6-tetramethyl-",C12H26,87.0802539,"Undecane, 5-methyl-",C12H26,73.60336013
116,14.1069,"Benzene, 1-methyl-3-(1-methylethyl)-",C10H14,67.0642173,"Benzene, 1-methyl-3-(1-methylethyl)-",C10H14,67.0642173,"Benzene, 1,2,4,5-tetramethyl-",C10H14,64.88706838
115,14.2611,"Butyric acid, 2-phenyl-, dec-2-yl ester",C20H32O2,54.09516864,"2,2-Dimethylpropanoic acid, 4-cyanophenyl ester",C12H13NO2,54.0953883,"2-Ethyl[1,3]dithiane",C6H12S2,50.41117282
114,14.4248,4'-Methylpropiophenone,C10H12O,79.28346621,"3,5-Dimethylbenzylhexylamine",C15H25N,82.39751527,4'-Methylpropiophenone,C10H12O,71.97524249
113,14.6563,"Benzene, 1-methyl-4-(1-methyl-2-propenyl)-",C11H14,52.42766322,"Benzene, 1-methyl-4-(1-methyl-2-propenyl)-",C11H14,52.42766322,"1,2-Naphthalenediol, 1,2,3,4-tetrahydro-, cis-",C10H12O2,50.32881299
