FID RT (min),FID Signal,,MS RT (min),MS Signal
0.39332605,3.451981056,,1.785,0.732516103
0.394159383,3.454385578,,1.789,0.732371161
0.394992717,3.456930678,,1.792,0.722953542
0.39582605,3.458718222,,1.796,0.711814735
0.396659383,3.457180111,,1.8,0.706854088
0.397492717,3.454341411,,1.803,0.707361386
0.39832605,3.453751689,,1.807,0.70715122
0.399159383,3.454917278,,1.81,0.713949008
0.399992717,3.456956722,,1.814,0.733070507
0.40082605,3.457996056,,1.818,0.745749326
0.401659383,3.457804444,,1.821,0.74128873
0.402492717,3.454857022,,1.825,0.736842628
0.40332605,3.453968611,,1.828,0.745122451
0.404159383,3.454919011,,1.832,0.754677765
0.404992717,3.457948089,,1.836,0.746767545
0.40582605,3.459978422,,1.839,0.727780117
0.406659383,3.459889589,,1.843,0.723087614
0.407492717,3.458705489,,1.846,0.738350027
0.40832605,3.455348911,,1.85,0.75204344
0.409159383,3.452842467,,1.853,0.759979025
0.409992717,3.453948178,,1.857,0.76250102
0.41082605,3.455025489,,1.861,0.757815763
0.411659383,3.455261578,,1.864,0.762736551
0.412492717,3.453803389,,1.868,0.779379538
0.41332605,3.453152522,,1.871,0.786148338
0.414159383,3.452558467,,1.875,0.775357392
0.414992717,3.452147811,,1.879,0.763888841
0.41582605,3.4523121,,1.882,0.767407313
0.416659383,3.454678944,,1.886,0.781423223
0.417492717,3.456643967,,1.889,0.78153193
0.41832605,3.458371922,,1.893,0.759199961
0.419159383,3.459698467,,1.897,0.740382841
0.419992717,3.456791644,,1.9,0.74157499
0.42082605,3.454729867,,1.904,0.745263769
0.421659383,3.454233567,,1.907,0.741723556
0.422492717,3.457519156,,1.911,0.746086316
0.42332605,3.458567133,,1.914,0.758207107
0.424159383,3.4559741,,1.918,0.760069614
0.424992717,3.454790122,,1.922,0.752949329
0.42582605,3.454949911,,1.925,0.750869409
0.426659383,3.456277967,,1.929,0.757515008
0.427492717,3.456118533,,1.932,0.77171572
0.42832605,3.456189756,,1.936,0.786354881
0.429159383,3.4560306,,1.94,0.787706467
0.429992717,3.455780711,,1.943,0.773190506
0.43082605,3.4560262,,1.947,0.74701757
0.431659383,3.456853944,,1.95,0.722986154
0.432492717,3.457759944,,1.954,0.727718517
0.43332605,3.457332078,,1.958,0.759170973
